run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
1,6,10,2,1,batch_001,Batch market 001,1.7175,-0.0595,-0.0386,0.0985,0.0783,-0.0196,Moderate,0.2939,-0.0191,1,0.0287,Team 01,Balanced S&OP,4623.28,Team 01,Balanced S&OP,80.0,Team 05,Team 05,Team 01,-2499.52,3
2,6,10,2,0,batch_002,Batch market 002,1.7146,0.0433,-0.0437,-0.0185,-0.0526,0.1953,Moderate,0.0882,0.0647,1,0.2521,Team 03,Cash conservative,4984.88,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,-5004.7,4
3,6,10,1,1,batch_003,Batch market 003,1.3835,-0.0628,-0.0622,-0.031,-0.1152,0.0057,High,0.2942,0.0469,1,0.1988,Team 04,Cash conservative,5883.05,Team 02,Balanced S&OP,68.0,Team 06,Team 06,Team 02,-888.36,3
4,6,10,0,1,batch_004,Batch market 004,1.3345,-0.061,0.0146,0.0894,-0.0613,0.1217,High,-0.1957,0.2662,1,-0.1121,Team 05,Cash conservative,6110.28,Team 01,Premium quality,80.0,Team 01,Team 01,Team 05,-3666.68,4
5,6,10,4,4,batch_005,Batch market 005,1.4455,0.0572,0.0277,-0.0872,0.0364,0.069,High,0.1465,-0.0611,-1,-0.0073,Team 01,Cash conservative,5182.19,Team 01,Cash conservative,68.0,Team 04,Team 04,Team 01,670.92,4
6,6,10,3,1,batch_006,Batch market 006,1.6388,0.0528,0.1057,-0.0574,0.0818,0.0322,Low,0.1957,0.1376,0,0.33,Team 02,Cash conservative,6588.08,Team 02,Cash conservative,64.0,Team 04,Team 04,Team 02,-860.3,3
7,6,10,0,1,batch_007,Batch market 007,1.4981,0.0134,-0.1236,-0.0699,-0.0919,0.1419,Moderate,-0.0654,-0.0335,0,-0.0538,Team 05,Cash conservative,5905.75,Team 05,Cash conservative,68.0,Team 01,Team 01,Team 05,-1917.88,4
8,6,10,1,3,batch_008,Batch market 008,1.3863,-0.0026,0.0165,0.0223,0.0715,0.0579,Moderate,-0.1795,0.2502,0,0.3404,Team 04,Cash conservative,5800.94,Team 04,Cash conservative,80.0,Team 01,Team 01,Team 04,-1143.12,4
9,6,10,1,4,batch_009,Batch market 009,1.4053,0.0737,0.0692,-0.0861,0.0762,0.2097,Moderate,0.0417,0.1447,0,0.2989,Team 04,Cash conservative,4838.0,Team 06,Premium quality,76.0,Team 06,Team 06,Team 04,-3931.07,4
10,6,10,3,0,batch_010,Batch market 010,1.2543,-0.0231,0.076,-0.0466,0.0052,0.1108,Moderate,-0.1172,0.2282,-1,-0.0136,Team 06,Balanced S&OP,7026.69,Team 02,Cash conservative,76.0,Team 05,Team 05,Team 02,785.39,4
11,6,10,3,2,batch_011,Batch market 011,1.2773,-0.0389,0.018,-0.0739,-0.1152,0.1731,Low,-0.0429,0.1478,1,0.141,Team 02,Cash conservative,3796.86,Team 02,Cash conservative,72.0,Team 04,Team 04,Team 06,-2539.41,4
12,6,10,1,0,batch_012,Batch market 012,0.6809,0.0543,0.0935,0.0192,0.0018,0.0499,High,-0.1985,0.2724,1,0.267,Team 02,Balanced S&OP,11938.31,Team 06,Premium quality,76.0,Team 06,Team 06,Team 06,484.17,4
13,6,10,1,2,batch_013,Batch market 013,1.0049,0.0316,0.0562,0.0756,0.032,-0.0133,Low,-0.0976,0.2301,0,0.3256,Team 02,Balanced S&OP,11091.36,Team 02,Balanced S&OP,68.0,Team 06,Team 06,Team 04,2330.95,4
14,6,10,3,3,batch_014,Batch market 014,1.073,0.0054,-0.0662,-0.0027,-0.0763,0.226,High,0.2764,-0.0163,-1,0.0298,Team 02,Cash conservative,3433.93,Team 02,Cash conservative,68.0,Team 06,Team 05,Team 02,-2675.8,4
15,6,10,5,2,batch_015,Batch market 015,0.9206,0.0569,0.114,-0.0582,0.049,-0.0381,Moderate,-0.1911,0.1616,-1,0.2097,Team 04,Balanced S&OP,9456.79,Team 06,Cash conservative,68.0,Team 03,Team 03,Team 06,3005.79,4
16,6,10,4,1,batch_016,Batch market 016,0.8521,0.0425,0.126,0.0762,0.0963,0.2163,Low,0.0385,0.2076,1,0.3393,Team 05,Balanced S&OP,5927.71,Team 05,Balanced S&OP,64.0,Team 03,Team 03,Team 01,-952.12,5
17,6,10,2,0,batch_017,Batch market 017,0.7496,0.0704,0.0316,0.0084,0.0292,0.2126,High,0.1718,0.2167,1,0.1389,Team 03,Cash conservative,4807.93,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,-5431.08,3
18,6,10,3,1,batch_018,Batch market 018,1.2893,0.0273,-0.1137,0.0929,0.0189,0.0926,Moderate,0.2941,0.3369,0,0.3122,Team 02,Cash conservative,5989.16,Team 02,Cash conservative,68.0,Team 04,Team 04,Team 02,-6.0,4
19,6,10,2,0,batch_019,Batch market 019,1.4281,-0.063,0.1248,0.0589,-0.0845,0.1566,Moderate,0.2853,0.1998,1,0.3376,Team 03,Cash conservative,5359.36,Team 03,Cash conservative,68.0,Team 05,Team 05,Team 03,-5358.81,4
20,6,10,0,4,batch_020,Batch market 020,0.8496,-0.026,-0.0467,0.0232,-0.0582,0.2153,High,-0.2009,-0.0468,0,0.3007,Team 03,Balanced S&OP,1891.41,Team 01,Premium quality,64.0,Team 01,Team 01,Team 04,-2874.07,5
21,6,10,2,4,batch_021,Batch market 021,1.2437,0.0952,-0.0027,0.0955,0.1069,-0.0163,Moderate,0.1803,0.3534,0,0.352,Team 03,Cash conservative,6916.86,Team 03,Cash conservative,76.0,Team 06,Team 06,Team 03,1244.06,4
22,6,10,4,4,batch_022,Batch market 022,1.5223,0.0913,0.009,-0.0727,0.082,0.233,High,0.2624,0.3739,1,0.3063,Team 01,Cash conservative,3354.83,Team 03,Premium quality,80.0,Team 03,Team 03,Team 01,-4307.18,4
