run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
1,6,10,2,1,batch_001,Team 01,Sponsorship Growth,balanced_sop,Balanced S&OP,1,1,80.0,4623.28,39342.0,34718.72,281,0.5409,0.4035,122764.62,10000.0,112764.62,False,0.0,202,35,0
1,6,10,2,1,batch_001,Team 03,Low-Cost Volume,cash_conservative,Cash conservative,2,3,56.0,4091.21,23483.46,19392.25,230,0.4585,0.4337,99942.0,0.0,99942.0,False,0.0,254,16,0
1,6,10,2,1,batch_001,Team 06,Sponsorship Growth,low_cost_volume,Low-cost volume,3,4,52.0,-2804.93,41664.48,44469.41,338,0.5998,0.2164,56836.87,35000.0,21836.870000000003,True,0.0,148,76,0
1,6,10,2,1,batch_001,Team 05,Premium Quality,premium_quality,Premium quality,4,2,68.0,-3936.0,0.0,3936.0,0,1.0,0.0,84601.52,0.0,84601.52,False,29.81,0,0,0
1,6,10,2,1,batch_001,Team 04,Community / Club,aggressive_growth,Aggressive growth,5,5,20.0,-5721.09,34863.36,40584.45,290,0.5136,0.2983,113380.02,100000.0,13380.020000000004,True,0.0,210,63,0
1,6,10,2,1,batch_001,Team 02,Engineering Challenger,innovation_leap,Innovation leap,6,6,0.0,-11249.58,4586.4,15835.98,39,0.1301,0.8613,114968.11,70000.0,44968.11,True,0.0,256,4,0
2,6,10,2,0,batch_002,Team 03,Engineering Challenger,cash_conservative,Cash conservative,1,1,68.0,4984.88,20505.06,15520.18,122,0.1546,0.822,108824.12,0.0,108824.12,False,0.0,658,8,0
2,6,10,2,0,batch_002,Team 01,Premium Quality,balanced_sop,Balanced S&OP,2,3,56.0,3154.29,31660.0,28505.71,182,0.2327,0.7579,93512.05,10000.0,83512.05,True,0.0,577,22,0
2,6,10,2,0,batch_002,Team 06,Premium Quality,low_cost_volume,Low-cost volume,3,4,48.0,-1788.13,34020.8,35808.93,222,0.2664,0.6902,58971.78,35000.0,23971.78,True,0.0,562,49,0
2,6,10,2,0,batch_002,Team 05,Community / Club,premium_quality,Premium quality,4,2,68.0,-4080.0,0.0,4080.0,0,1.0,0.0,35875.22,0.0,35875.22,False,16.89,0,0,0
2,6,10,2,0,batch_002,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,5,6,4.0,-12691.65,10374.0,23065.65,95,0.1313,0.8613,86945.98,70000.0,16945.979999999996,True,0.0,618,10,0
2,6,10,2,0,batch_002,Team 04,Low-Cost Volume,aggressive_growth,Aggressive growth,6,5,24.0,-19607.57,38826.24,58433.81,404,0.3345,0.5469,0.0,114157.95,-114157.95,True,0.0,711,91,0
3,6,10,1,1,batch_003,Team 04,Community / Club,cash_conservative,Cash conservative,1,2,64.0,5883.05,21220.08,15337.03,166,0.3523,0.585,93550.52,0.0,93550.52,False,0.0,293,11,0
3,6,10,1,1,batch_003,Team 02,Engineering Challenger,balanced_sop,Balanced S&OP,2,1,68.0,5581.86,29988.0,24406.14,182,0.5603,0.3924,106569.78,10000.0,96569.78,False,0.0,120,22,0
3,6,10,1,1,batch_003,Team 01,Sponsorship Growth,low_cost_volume,Low-cost volume,3,4,48.0,-1870.33,43457.92,45328.25,358,0.7014,0.1206,23037.72,35000.0,-11962.279999999999,True,0.0,74,76,10
3,6,10,1,1,batch_003,Team 05,Premium Quality,aggressive_growth,Aggressive growth,4,5,40.0,-2137.49,35769.6,37907.09,214,0.6012,0.1709,128421.16,100000.0,28421.160000000003,True,11.98,95,46,0
3,6,10,1,1,batch_003,Team 06,Sponsorship Growth,premium_quality,Premium quality,5,3,60.0,-4152.0,0.0,4152.0,0,1.0,0.0,80047.54,0.0,80047.54,False,47.39,0,0,0
3,6,10,1,1,batch_003,Team 03,Low-Cost Volume,innovation_leap,Innovation leap,6,6,0.0,-8635.23,10248.0,18883.23,80,0.2979,0.6687,68993.23,70000.0,-1006.7700000000041,True,0.0,179,9,0
4,6,10,0,1,batch_004,Team 05,Premium Quality,cash_conservative,Cash conservative,1,2,68.0,6110.28,21660.72,15550.44,122,0.4121,0.5174,103688.87,0.0,103688.87,False,0.0,165,8,0
4,6,10,0,1,batch_004,Team 02,Engineering Challenger,low_cost_volume,Low-cost volume,2,3,48.0,-1025.25,32057.52,33082.77,221,0.6263,0.2062,50607.39,35000.0,15607.39,True,0.0,83,48,0
