round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
1,Team 01,Sponsorship Growth,3,1,0,0,0,315,583.11,268.11,268.11,0.4598,275,139.99,315,315,339,92.92,34.31,0.0252,306,583.11,306,237,38,0,5,0.5248,42838.0,11665.4,15007.45,10.0,346.36,380.0,936.0,2500.0,22.0,321.55,1000.0,0.0,42154.79,1000.0,False,30867.21,11970.79,51.7,47.45,2.0,0.0,0,320,0,315,340,0,,"Portfolio forecast WAPE was 45.98% against realized demand. Lost 237 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
1,Team 02,Engineering Challenger,2,1,0,0,0,180,388.25,208.25,208.25,0.5364,213,172.92,176,176,304,57.89,37.41,0.005,174,388.25,174,195,18,0,114,0.4482,30088.8,6247.47,8986.34,228.0,39.15,180.0,648.0,9000.0,154.0,5314.74,7000.0,0.0,38749.84,7000.0,False,25482.96,4605.84,85.15,43.17,2.0,0.0,0,290,0,176,167,0,,"Portfolio forecast WAPE was 53.64% against realized demand. Lost 195 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
1,Team 03,Low-Cost Volume,3,1,0,0,0,299,517.33,218.33,218.33,0.422,210,102.08,324,324,424,76.42,26.03,0.0513,306,517.33,306,192,18,0,96,0.5915,31236.48,6923.98,10953.36,192.0,706.9,180.0,0.0,750.0,0.0,2498.88,0.0,0.0,40762.24,0.0,False,19706.24,11530.24,41.35,31.66,1.33,24.63,0,420,0,324,266,0,,Portfolio forecast WAPE was 42.20% against realized demand. Lost 192 sales units across the portfolio. Carried 18 backlog units into next round.,1,4,batch_001,Batch market 001
1,Team 04,Community / Club,3,1,0,0,0,383,572.31,189.31,189.31,0.3308,278,120.31,325,300,345,86.96,28.47,0.0236,292,572.31,292,209,69,0,0,0.5102,35130.24,12014.34,12917.26,0.0,310.52,690.0,2592.0,4000.0,220.0,1500.0,10000.0,0.0,35426.12,10000.0,False,32744.12,2386.12,33.86,46.02,1.67,28.26,0,300,0,300,422,0,,"Portfolio forecast WAPE was 33.08% against realized demand. Lost 209 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
2,Team 01,Sponsorship Growth,3,1,0,0,0,315,576.25,261.25,261.25,0.4534,305,140.01,315,315,352,89.49,35.18,0.0229,307,576.25,307,267,38,0,30,0.4998,42984.0,11961.2,15358.8,60.0,316.83,380.0,936.0,2500.0,44.0,1355.4,1000.0,0.0,54581.96,2000.0,False,31556.83,11427.17,49.99,32.22,2.0,12.86,0,5,340,315,340,38,,"Portfolio forecast WAPE was 45.34% against realized demand. Lost 267 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
2,Team 02,Engineering Challenger,2,1,0,0,0,180,405.7,225.7,225.7,0.5563,248,172.92,176,176,313,56.23,38.37,0.005,174,405.7,174,230,18,0,105,0.4107,30088.8,6407.79,9185.04,210.0,39.15,180.0,648.0,9000.0,308.0,6128.85,7000.0,0.0,49860.66,14000.0,True,25977.98,4110.82,83.09,26.12,2.0,0.0,0,114,167,176,167,18,,"Portfolio forecast WAPE was 55.63% against realized demand. Lost 230 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,4,batch_001,Batch market 001
2,Team 03,Low-Cost Volume,3,1,0,0,0,299,532.73,233.73,233.73,0.4387,242,102.15,324,324,424,76.42,26.69,0.0504,307,532.73,307,224,18,0,38,0.5574,31360.92,7099.54,11214.49,76.01,696.02,180.0,0.0,750.0,0.0,1014.22,0.0,0.0,52107.1,0.0,False,20016.06,11344.86,40.23,14.15,1.33,24.67,0,96,266,324,266,18,,Portfolio forecast WAPE was 43.87% against realized demand. Lost 224 sales units across the portfolio. Carried 18 backlog units into next round.,1,4,batch_001,Batch market 001
2,Team 04,Community / Club,3,1,0,0,0,383,568.33,185.33,185.33,0.3261,319,120.25,325,325,381,85.3,29.19,0.0218,317,568.33,317,250,69,0,97,0.4974,38119.68,12318.18,14185.27,194.0,311.16,690.0,2592.0,4000.0,440.0,5831.43,10000.0,0.0,48815.19,20000.0,True,34730.61,3389.07,35.66,30.83,1.67,47.24,0,0,422,325,422,69,,"Portfolio forecast WAPE was 32.61% against realized demand. Lost 250 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,4,batch_001,Batch market 001
3,Team 01,Sponsorship Growth,3,1,0,0,0,315,579.0,264.0,264.0,0.456,309,140.01,315,315,365,86.3,36.06,0.0224,307,579.0,307,271,38,0,55,0.4976,42984.0,12260.4,15708.1,109.99,309.36,380.0,936.0,2500.0,66.0,2433.3,1000.0,0.0,66296.11,3000.0,False,32269.85,10714.15,47.9,16.93,2.0,23.59,0,30,340,315,340,38,,"Portfolio forecast WAPE was 45.60% against realized demand. Lost 271 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
3,Team 02,Engineering Challenger,2,1,0,0,0,180,397.31,217.31,217.31,0.547,241,172.92,176,176,322,54.66,39.32,0.005,174,397.31,174,223,18,0,96,0.419,30088.8,6566.44,9384.71,192.0,39.15,180.0,648.0,9000.0,462.0,6924.72,7000.0,0.0,60477.16,21000.0,True,26472.3,3616.5,81.03,9.32,2.0,13.49,0,105,167,176,167,18,,"Portfolio forecast WAPE was 54.70% against realized demand. Lost 223 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,4,batch_001,Batch market 001
