round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,run_id,team_count,market_scenario,market_label
1,Team 01,team_01_A,A,Momentum Edge,120,184.74,116,64.74,64.74,0.5395,0.3504,1,4,batch_001,Batch market 001
1,Team 01,team_01_B,B,Rise Power,85,199.66,83,114.66,114.66,1.349,0.5743,1,4,batch_001,Batch market 001
1,Team 01,team_01_C,C,Court Wave,110,198.71,107,88.71,88.71,0.8064,0.4464,1,4,batch_001,Batch market 001
1,Team 02,team_02_A,A,Vector X,81,208.3,78,127.3,127.3,1.5716,0.6111,1,4,batch_001,Batch market 001
1,Team 02,team_02_B,B,Axis Control,99,179.95,96,80.95,80.95,0.8177,0.4498,1,4,batch_001,Batch market 001
1,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
1,Team 03,team_03_A,A,Starter Pop,121,207.22,124,86.22,86.22,0.7126,0.4161,1,4,batch_001,Batch market 001
1,Team 03,team_03_B,B,Club Value,106,133.9,109,27.9,27.9,0.2632,0.2083,1,4,batch_001,Batch market 001
1,Team 03,team_03_C,C,Flex Edge,72,176.21,73,104.21,104.21,1.4474,0.5914,1,4,batch_001,Batch market 001
1,Team 04,team_04_A,A,Club Control,153,222.77,117,69.77,69.77,0.456,0.3132,1,4,batch_001,Batch market 001
1,Team 04,team_04_B,B,Court Starter,132,144.59,100,12.59,12.59,0.0954,0.0871,1,4,batch_001,Batch market 001
1,Team 04,team_04_C,C,Club Spin,98,204.95,75,106.95,106.95,1.0913,0.5218,1,4,batch_001,Batch market 001
2,Team 01,team_01_A,A,Momentum Edge,120,207.96,117,87.96,87.96,0.733,0.423,1,4,batch_001,Batch market 001
2,Team 01,team_01_B,B,Rise Power,85,207.85,83,122.85,122.85,1.4453,0.591,1,4,batch_001,Batch market 001
2,Team 01,team_01_C,C,Court Wave,110,160.44,107,50.44,50.44,0.4586,0.3144,1,4,batch_001,Batch market 001
