round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes,run_id,team_count,market_scenario,market_label
1,Team 01,team_01_A,Momentum Edge,A,mid,launch,1,2,power,146.0,120,120,120,0.0259,116,184.74,184.74,116,59,0,0.6279,64.74,64.74,0.5395,0.3504,16936.0,5703.6,3.81,134.99,4443.96,90.0,356.57,64.16,5411.03,0,0,9,-1,0.887,0.0,0.0,False,,False,0.0,Lost 59 sales units. Carried 9 backlog units.,1,4,batch_001,Batch market 001
1,Team 01,team_01_B,Rise Power,B,premium,growth,2,3,power,178.0,85,85,85,0.0224,83,199.66,199.66,83,100,0,0.4157,114.66,114.66,1.349,0.5743,14774.0,4162.45,2.7,83.68,3147.81,160.0,252.57,94.72,6108.77,0,0,16,0,1.0,0.0,0.0,False,,False,0.0,Lost 100 sales units. Carried 16 backlog units.,1,4,batch_001,Batch market 001
1,Team 01,team_01_C,Court Wave,C,beginner,growth,3,1,entry,104.0,110,110,110,0.0265,107,198.71,198.71,107,78,0,0.5385,88.71,88.71,0.8064,0.4464,11128.0,5141.4,3.49,127.69,4073.63,130.0,326.86,22.95,473.0,0,0,13,-2,0.935,0.0,0.0,False,,False,0.0,Lost 78 sales units. Carried 13 backlog units.,1,4,batch_001,Batch market 001
1,Team 02,team_02_A,Vector X,A,premium,growth,2,3,engineered,193.2,81,79,79,0.005,78,208.3,208.3,78,119,0,0.3745,127.3,127.3,1.5716,0.6111,15069.6,4119.85,102.34,17.55,2804.26,110.0,290.86,103.64,2796.14,0,0,11,0,1.0,0.0,0.0,False,,False,0.0,Lost 119 sales units. Carried 11 backlog units.,1,4,batch_001,Batch market 001
1,Team 02,team_02_B,Axis Control,B,mid,launch,1,2,engineered,156.45,99,97,97,0.005,96,179.95,179.95,96,76,0,0.5335,80.95,80.95,0.8177,0.4498,15019.2,4866.49,125.66,21.6,3443.21,70.0,357.14,68.87,1963.7,0,0,7,-1,0.887,0.0,0.0,False,,False,0.0,Lost 76 sales units. Carried 7 backlog units.,1,4,batch_001,Batch market 001
1,Team 02,team_02_C,Baseline Drive,C,beginner,maturity,5,1,entry,117.6,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.56,0.0,0,0,0,-2,0.935,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
1,Team 03,team_03_A,Starter Pop,A,beginner,growth,2,1,entry,90.78,121,131,131,0.0524,124,207.22,207.22,124,76,0,0.5984,86.22,86.22,0.7126,0.4161,11256.72,4388.5,77.63,292.34,2799.51,70.0,0.0,31.25,3328.32,0,0,7,-2,0.935,19.82,0.0,False,,False,0.0,Lost 76 sales units. Carried 7 backlog units.,1,4,batch_001,Batch market 001
1,Team 03,team_03_B,Club Value,B,beginner,maturity,4,1,entry,99.96,106,115,115,0.0481,109,133.9,133.9,109,22,0,0.8141,27.9,27.9,0.2632,0.2083,10895.64,3880.1,68.15,236.12,2457.59,20.0,0.0,40.19,4039.56,0,0,2,-2,0.935,0.0,24.63,False,,False,0.0,Lost 22 sales units. Carried 2 backlog units.,1,4,batch_001,Batch market 001
1,Team 03,team_03_C,Flex Edge,C,mid,launch,1,2,hybrid,124.44,72,78,78,0.0543,73,176.21,176.21,73,94,0,0.4143,104.21,104.21,1.4474,0.5914,9084.12,2684.76,46.22,178.44,1666.88,90.0,0.0,63.99,4162.36,0,0,9,-1,0.887,4.81,0.0,False,,False,0.0,Lost 94 sales units. Carried 9 backlog units.,1,4,batch_001,Batch market 001
1,Team 04,team_04_A,Club Control,A,mid,growth,3,2,club,126.72,153,130,120,0.0226,117,222.77,222.77,117,79,0,0.5252,69.77,69.77,0.456,0.3132,14826.24,5066.4,0.0,119.25,4805.74,260.0,1036.8,56.03,1981.08,0,0,26,-1,0.887,14.76,0.0,False,,False,0.0,Production capped from 130 to 120 by shared capacity or materials. Lost 79 sales units. Carried 26 backlog units.,1,4,batch_001,Batch market 001
