run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
1,4,4,batch_001,Batch market 001,1.7175,-0.0595,-0.0386,0.0985,0.0783,-0.0196,Moderate,0.2939,-0.0191,1,0.0287,Team 01,Premium quality,12565.32,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,7376.27,1
2,6,4,batch_002,Batch market 002,0.9934,0.0209,0.0434,0.0706,-0.0437,0.231,Moderate,0.12,0.3066,1,0.206,Team 05,Cash conservative,9987.78,Team 01,Premium quality,68.0,Team 06,Team 03,Team 05,1493.65,4
3,8,4,batch_003,Batch market 003,1.4204,0.0254,0.0222,0.055,-0.0633,0.0378,High,-0.0336,-0.0392,1,-0.0417,Team 07,Premium quality,15199.1,Team 07,Premium quality,82.9,Team 02,Team 03,Team 01,7804.43,3
4,7,4,batch_004,Batch market 004,1.498,-0.0355,-0.0627,0.0185,0.0221,0.0612,High,0.0013,0.2398,0,-0.096,Team 07,Premium quality,11959.01,Team 07,Premium quality,93.3,Team 02,Team 03,Team 07,7644.88,2
5,8,4,batch_005,Batch market 005,1.6269,-0.067,-0.094,0.0765,-0.0749,-0.017,Moderate,0.2809,0.3158,0,0.1825,Team 07,Premium quality,11825.47,Team 07,Premium quality,88.6,Team 06,Team 03,Team 07,7360.61,4
6,10,4,batch_006,Batch market 006,1.0151,0.0742,0.0635,-0.0544,0.0069,0.1021,High,-0.0183,0.028,1,0.3011,Team 05,Cash conservative,5671.12,Team 01,Premium quality,80.0,Team 08,Team 01,Team 05,-3638.61,7
7,5,4,batch_007,Batch market 007,1.105,0.0945,-0.0571,-0.0877,0.1051,0.1342,High,-0.0143,-0.0295,1,-0.0125,Team 01,Premium quality,10031.84,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,5535.49,2
8,4,4,batch_008,Batch market 008,1.3353,0.0819,-0.0485,-0.0146,0.053,0.107,Moderate,-0.0477,0.2892,0,-0.0538,Team 01,Premium quality,10476.15,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,6831.04,1
9,4,4,batch_009,Batch market 009,0.6725,-0.024,-0.1047,-0.0114,0.0305,0.0703,High,0.1693,0.0928,-1,0.2463,Team 01,Premium quality,9972.07,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,6317.69,2
10,5,4,batch_010,Batch market 010,1.4569,0.0641,0.1286,-0.0553,0.0762,0.0008,High,0.1637,0.3319,0,0.2633,Team 01,Premium quality,12218.53,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,9453.48,1
11,6,4,batch_011,Batch market 011,1.5623,0.0324,-0.0043,-0.0023,-0.1044,0.2213,Moderate,-0.1028,0.1704,-1,0.1289,Team 01,Premium quality,8599.45,Team 01,Premium quality,68.0,Team 04,Team 02,Team 01,4700.43,2
12,6,4,batch_012,Batch market 012,0.9371,-0.0286,0.1337,0.0359,-0.0914,0.0634,High,-0.0085,0.022,0,-0.0294,Team 01,Premium quality,9161.75,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,4336.07,3
13,8,4,batch_013,Batch market 013,1.487,-0.011,-0.1152,-0.0988,0.0197,0.0986,Low,0.0805,0.3283,0,0.1958,Team 07,Premium quality,10631.33,Team 07,Premium quality,80.0,Team 06,Team 03,Team 01,5928.94,4
14,10,4,batch_014,Batch market 014,0.9033,0.092,-0.0464,-0.0359,-0.1019,0.0672,Moderate,0.291,-0.033,1,-0.0849,Team 05,Cash conservative,4353.51,Team 05,Cash conservative,80.0,Team 06,Team 05,Team 05,-7330.55,8
15,4,4,batch_015,Batch market 015,1.04,-0.0585,-0.0747,-0.0752,-0.0706,0.1423,High,-0.1348,0.0478,0,-0.0081,Team 01,Premium quality,9898.39,Team 01,Premium quality,66.7,Team 02,Team 02,Team 01,6192.58,2
16,6,4,batch_016,Batch market 016,1.5335,0.0483,-0.0827,0.0877,-0.0013,0.1102,Moderate,0.2457,-0.0199,1,-0.1047,Team 01,Premium quality,10426.47,Team 01,Premium quality,68.0,Team 02,Team 02,Team 01,5430.42,2
17,5,4,batch_017,Batch market 017,0.6944,-0.0491,0.0103,-0.0376,-0.0089,0.1223,Moderate,0.0356,0.029,-1,-0.0943,Team 04,Innovation leap,6890.53,Team 01,Premium quality,65.0,Team 03,Team 01,Team 05,-443.8,3
18,8,4,batch_018,Batch market 018,1.3841,-0.0437,0.0205,0.0584,0.0285,-0.0072,High,-0.2055,0.0207,0,0.3194,Team 01,Premium quality,10212.21,Team 01,Premium quality,80.0,Team 08,Team 03,Team 01,6807.0,3
19,7,4,batch_019,Batch market 019,1.2941,-0.0621,-0.0725,0.0238,0.0602,0.196,Low,0.0645,-0.0762,0,0.2504,Team 05,Cash conservative,8128.63,Team 03,Balanced S&OP,72.0,Team 03,Team 03,Team 05,732.4,4
20,4,4,batch_020,Batch market 020,1.0743,0.0886,-0.0503,0.0977,-0.0862,0.2308,High,0.0713,0.0672,1,0.3533,Team 01,Premium quality,8433.85,Team 01,Premium quality,60.0,Team 04,Team 02,Team 01,2377.78,2
21,9,4,batch_021,Batch market 021,1.6972,0.0931,-0.0655,0.0162,0.0113,0.0174,Moderate,0.0745,0.296,0,0.3171,Team 07,Premium quality,13859.5,Team 07,Premium quality,75.0,Team 06,Team 08,Team 07,7955.05,3
22,8,4,batch_022,Batch market 022,1.4222,0.0984,-0.0845,-0.0282,0.0581,0.1303,Low,0.0633,0.0333,-1,-0.0071,Team 07,Premium quality,11999.1,Team 07,Premium quality,74.3,Team 06,Team 08,Team 01,7161.17,2
23,6,4,batch_023,Batch market 023,0.9189,0.0941,0.0325,-0.0416,0.0714,-0.0301,Low,-0.1811,0.1226,1,0.2828,Team 05,Cash conservative,14277.02,Team 01,Premium quality,64.0,Team 06,Team 03,Team 05,8402.24,3
24,8,4,batch_024,Batch market 024,0.7103,0.0475,0.1378,0.0004,-0.0602,0.0824,Moderate,-0.0825,0.0095,1,0.273,Team 05,Cash conservative,2602.52,Team 01,Premium quality,85.7,Team 03,Team 05,Team 05,-9149.06,6
25,5,4,batch_025,Batch market 025,1.2895,0.0258,-0.072,-0.0449,0.1353,-0.0018,Moderate,0.2082,0.3275,0,0.3088,Team 01,Premium quality,12268.21,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,9678.2,1
26,8,4,batch_026,Batch market 026,1.2968,-0.0357,0.129,-0.0096,-0.1378,0.1144,High,-0.1214,0.2148,-1,-0.0096,Team 01,Premium quality,8708.19,Team 01,Premium quality,80.0,Team 08,Team 03,Team 01,3522.93,4
27,8,4,batch_027,Batch market 027,1.2692,-0.0043,-0.0691,0.0705,0.0013,0.1173,High,-0.1017,0.0877,0,0.0938,Team 01,Premium quality,8063.75,Team 01,Premium quality,82.9,Team 08,Team 03,Team 01,4377.58,4
28,5,4,batch_028,Batch market 028,0.7971,0.0622,-0.0115,0.0389,-0.0636,0.02,High,0.037,0.2338,0,-0.0034,Team 01,Premium quality,12903.51,Team 01,Premium quality,90.0,Team 02,Team 03,Team 01,8697.56,1
29,5,4,batch_029,Batch market 029,1.1072,0.0449,-0.109,-0.0811,0.1283,0.0475,Low,0.2263,0.2546,-1,-0.1184,Team 04,Innovation leap,11656.83,Team 04,Innovation leap,67.0,Team 02,Team 02,Team 01,8886.74,1
