round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes,run_id,team_count,market_scenario,market_label
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,207.03,207.03,86,114,0,0.4154,122.03,122.03,1.4356,0.5894,18018.72,4000.26,71.87,19.35,3633.12,70.0,442.57,121.78,8269.33,0,0,7,0,1.0,0.0,0.0,False,,False,0.0,Lost 114 sales units. Carried 7 backlog units.,1,4,batch_001,Batch market 001
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,203.68,203.68,96,100,0,0.4713,108.68,108.68,1.144,0.5336,16174.08,4441.63,80.13,21.6,4050.72,70.0,493.43,80.93,5528.79,0,0,7,-1,0.887,0.0,0.0,False,,False,0.0,Lost 100 sales units. Carried 7 backlog units.,1,4,batch_001,Batch market 001
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.84,0.0,0,0,0,-2,0.773,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0378,117,205.36,205.36,117,66,0,0.5697,47.36,47.36,0.2997,0.2306,15032.16,5542.46,0.0,199.04,5582.17,220.0,796.05,52.29,2209.53,0,0,22,-1,0.887,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials. Lost 66 sales units. Carried 22 backlog units.,1,4,batch_001,Batch market 001
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0334,83,218.78,218.78,83,101,0,0.3794,106.78,106.78,0.9534,0.4881,13001.12,4067.8,0.0,124.94,3934.97,340.0,561.15,78.58,3457.79,0,0,34,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials. Lost 101 sales units. Carried 34 backlog units.,1,4,batch_001,Batch market 001
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0407,107,213.74,213.74,107,79,0,0.5006,68.74,68.74,0.4741,0.3216,9792.64,5132.96,0.0,196.06,5124.62,270.0,730.8,14.93,-2164.42,0,0,27,-2,0.935,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials. Lost 79 sales units. Carried 27 backlog units.,1,4,batch_001,Batch market 001
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,224.85,224.85,89,121,0,0.3958,134.85,134.85,1.4983,0.5997,16376.0,4033.8,81.0,20.02,3422.41,140.0,388.8,103.97,6973.6,0,0,14,0,1.0,0.0,0.0,False,,False,0.0,Lost 121 sales units. Carried 14 backlog units.,1,4,batch_001,Batch market 001
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.005,109,202.17,202.17,109,83,0,0.5391,92.17,92.17,0.8379,0.4559,16241.0,4875.2,99.0,24.53,4182.95,100.0,475.2,69.47,5300.49,0,0,10,-1,0.887,0.0,0.0,False,,False,0.0,Lost 83 sales units. Carried 10 backlog units.,1,4,batch_001,Batch market 001
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.96,0.0,0,0,0,-2,0.935,0.0,0.0,False,,False,0.0,,1,4,batch_001,Batch market 001
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0442,134,233.22,233.22,134,85,0,0.5746,89.22,89.22,0.6196,0.3826,12522.3,4637.49,58.34,266.83,3731.0,140.0,379.24,32.74,-276.15,0,0,14,-2,0.935,22.37,0.0,False,,False,0.0,Lost 85 sales units. Carried 14 backlog units.,1,4,batch_001,Batch market 001
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0403,118,151.15,151.15,118,28,0,0.7807,26.15,26.15,0.2092,0.173,12142.2,4074.99,50.9,214.26,3254.7,50.0,330.83,41.95,1842.75,0,0,5,-2,0.935,0.0,27.8,False,,False,0.0,Lost 28 sales units. Carried 5 backlog units.,1,4,batch_001,Batch market 001
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0473,80,201.03,201.03,80,104,0,0.398,115.03,115.03,1.3376,0.5722,10248.0,2856.0,34.76,170.36,2222.72,170.0,225.93,66.28,1477.54,0,0,17,-1,0.887,5.43,0.0,False,,False,0.0,Lost 104 sales units. Carried 17 backlog units.,1,4,batch_001,Batch market 001
