experiment_mode,scenario_id,scenario_name,round,team_name,strategy_archetype,operating_archetype,demand,actual_demand,forecast,planned_production,actual_production,units_sold,lost_sales,inventory,backlog,revenue,cost,profit,cash,debt,service_level,forecast_error,forecast_wape,defects,warranty_cost,capacity_used,effective_capacity,raw_material_inventory_end,innovation_investment,npd_investment,launched_products,retired_products,launch_events,interest_expense,working_capital_requirement,liquidity_stress,reputation,notes
calibrated,1,Baseline,1,Team 01,Cash conservative,Premium Quality,165.98,165.98,151,164,164,161,0,1,4,28602.84,14549.8,14053.04,39637.04,0.0,0.97,14.98,0.0903,0.005,36.22,62.36,263,96,750.0,750.0,0,0,,0.0,3694.14,FALSE,70.21,Portfolio forecast WAPE was 9.03% against realized demand. Carried 4 backlog units into next round.
calibrated,1,Baseline,1,Team 02,Balanced S&OP,Sponsorship Growth,242.75,242.75,315,315,315,240,0,65,1,34388.0,31343.66,3044.34,33228.34,1000.0,0.9887,-72.25,0.2976,0.0262,283.61,92.92,339,5,2500.0,2500.0,0,0,,22.0,5755.5,FALSE,63.96,"Portfolio forecast WAPE was 29.76% against realized demand. Carried 1 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 03,Premium quality,Engineering Challenger,165.41,165.41,180,184,184,160,0,22,5,28846.8,21506.31,7340.49,34484.49,0.0,0.9673,-14.59,0.1651,0.005,36.0,60.93,302,106,3000.0,3000.0,0,0,,0.0,6336.96,FALSE,62.13,Portfolio forecast WAPE was 16.51% against realized demand. Carried 5 backlog units into next round.
calibrated,1,Baseline,1,Team 04,Innovation leap,Low-Cost Volume,215.96,215.96,355,348,348,215,0,117,0,23304.75,33694.46,-10389.71,25842.29,7000.0,0.9956,-139.04,0.6438,0.0436,429.42,78.91,441,72,9000.0,9000.0,0,0,,154.0,10763.52,FALSE,47.91,"Portfolio forecast WAPE was 64.38% against realized demand. Used $7,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 05,Aggressive growth,Community / Club,240.79,240.79,383,325,300,226,0,66,13,28033.92,32996.66,-4962.74,28077.26,10000.0,0.9386,-142.21,0.5906,0.0236,237.42,86.96,345,0,4000.0,4000.0,0,0,,220.0,6312.97,FALSE,61.19,"Portfolio forecast WAPE was 59.06% against realized demand. Carried 13 backlog units into next round. Used $10,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 06,Low-cost volume,Premium Quality,169.11,169.11,263,244,244,169,0,71,0,25842.08,27213.31,-1371.23,27712.77,3500.0,0.9993,-93.89,0.5552,0.0107,81.05,83.85,291,16,1500.0,1500.0,0,0,,77.0,7306.47,FALSE,70.1,"Portfolio forecast WAPE was 55.52% against realized demand. Used $3,500.00 of planned borrowing."
calibrated,1,Baseline,2,Team 01,Cash conservative,Premium Quality,182.12,182.12,151,164,164,163,13,0,9,28921.08,14847.17,14073.91,53710.95,0.0,0.8758,31.12,0.1709,0.005,36.67,62.36,263,66,750.0,750.0,0,0,,0.0,2540.34,FALSE,71.46,Portfolio forecast WAPE was 17.09% against realized demand. Lost 13 sales units across the portfolio. Carried 9 backlog units into next round.
calibrated,1,Baseline,2,Team 02,Balanced S&OP,Sponsorship Growth,251.9,251.9,315,315,315,242,0,129,9,35184.0,32504.72,2679.28,36907.62,2000.0,0.9569,-63.1,0.2963,0.024,262.72,89.49,352,30,2500.0,2500.0,0,0,,44.0,12409.38,TRUE,64.75,"Portfolio forecast WAPE was 29.63% against realized demand. Carried 9 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
calibrated,1,Baseline,2,Team 03,Premium quality,Engineering Challenger,181.81,181.81,180,184,184,171,1,33,14,30616.92,22057.53,8559.39,43043.88,0.0,0.9154,1.81,0.1153,0.005,38.47,58.23,316,106,3000.0,3000.0,0,0,,0.0,7534.84,FALSE,65.06,Portfolio forecast WAPE was 11.53% against realized demand. Lost 1 sales units across the portfolio. Carried 14 backlog units into next round.
calibrated,1,Baseline,2,Team 04,Innovation leap,Low-Cost Volume,233.27,233.27,355,348,348,225,0,224,7,24396.75,35061.67,-10664.92,22177.37,14000.0,0.9645,-121.73,0.5483,0.0426,434.78,76.65,454,55,9000.0,9000.0,0,0,,308.0,18732.7,TRUE,46.52,"Portfolio forecast WAPE was 54.83% against realized demand. Carried 7 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
