scenario_id,scenario_name,experiment_mode,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_score,service_winner,service_winner_strategy,forecast_winner,forecast_winner_strategy,cash_winner,cash_winner_strategy,innovation_winner,innovation_winner_strategy,short_interpretation
1,Baseline,calibrated,Team 01,Cash conservative,110579.88,Team 02,Balanced S&OP,72.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 01,Cash conservative,Team 03,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
2,Picky Customers,calibrated,Team 01,Cash conservative,104400.97,Team 03,Premium quality,88.0,Team 03,Premium quality,Team 03,Premium quality,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
3,Price Sensitive,calibrated,Team 06,Low-cost volume,146629.36,Team 06,Low-cost volume,100.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 03,Premium quality,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.
4,Tech Shift,calibrated,Team 02,Balanced S&OP,91576.23,Team 04,Innovation leap,68.0,Team 04,Innovation leap,Team 03,Premium quality,Team 02,Balanced S&OP,Team 03,Premium quality,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
5,Beginner Boom,calibrated,Team 06,Low-cost volume,160344.54,Team 06,Low-cost volume,100.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 03,Premium quality,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.
6,Premium Market,calibrated,Team 03,Premium quality,109467.28,Team 03,Premium quality,100.0,Team 03,Premium quality,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
7,Demand Recession,calibrated,Team 01,Cash conservative,71164.78,Team 01,Cash conservative,100.0,Team 01,Cash conservative,Team 01,Cash conservative,Team 01,Cash conservative,Team 03,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
8,Demand Boom,calibrated,Team 02,Balanced S&OP,117843.04,Team 02,Balanced S&OP,96.0,Team 02,Balanced S&OP,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 03,Premium quality,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
9,Supply Shock,calibrated,Team 01,Cash conservative,79660.19,Team 03,Premium quality,68.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 01,Cash conservative,Team 03,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
10,Cost Inflation,calibrated,Team 01,Cash conservative,84936.58,Team 03,Premium quality,68.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 01,Cash conservative,Team 03,Premium quality,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
11,Fast Lifecycle,calibrated,Team 02,Balanced S&OP,88613.96,Team 04,Innovation leap,72.0,Team 04,Innovation leap,Team 03,Premium quality,Team 02,Balanced S&OP,Team 03,Premium quality,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
12,Warranty Sensitive,calibrated,Team 03,Premium quality,81926.45,Team 03,Premium quality,100.0,Team 03,Premium quality,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
13,Price War,calibrated,Team 06,Low-cost volume,162629.72,Team 06,Low-cost volume,100.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 03,Premium quality,Low-cost volume found enough price-sensitive demand to offset its thinner margins and operating risk.
