scenario_id,scenario_name,experiment_mode,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_score,service_winner,service_winner_strategy,forecast_winner,forecast_winner_strategy,cash_winner,cash_winner_strategy,innovation_winner,innovation_winner_strategy,short_interpretation
1,Baseline,calibrated,Team 02,Balanced S&OP,86731.31,Team 02,Balanced S&OP,84.0,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
2,Picky Customers,calibrated,Team 03,Premium quality,99027.43,Team 03,Premium quality,96.0,Team 03,Premium quality,Team 03,Premium quality,Team 02,Balanced S&OP,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
3,Price Sensitive,calibrated,Team 02,Balanced S&OP,127945.7,Team 02,Balanced S&OP,76.0,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
4,Tech Shift,calibrated,Team 04,Innovation leap,125825.96,Team 04,Innovation leap,96.0,Team 06,Low-cost volume,Team 04,Innovation leap,Team 04,Innovation leap,Team 05,Aggressive growth,"Innovation leap benefited from technology pressure and future-product readiness, but its cash burden should still be inspected."
5,Beginner Boom,calibrated,Team 02,Balanced S&OP,131949.93,Team 02,Balanced S&OP,84.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
6,Premium Market,calibrated,Team 03,Premium quality,121144.65,Team 03,Premium quality,96.0,Team 06,Low-cost volume,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
7,Demand Recession,calibrated,Team 01,Cash conservative,23859.98,Team 01,Cash conservative,88.0,Team 05,Aggressive growth,Team 01,Cash conservative,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
8,Demand Boom,calibrated,Team 02,Balanced S&OP,123927.77,Team 02,Balanced S&OP,80.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
9,Supply Shock,calibrated,Team 01,Cash conservative,55127.12,Team 02,Balanced S&OP,80.0,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
10,Cost Inflation,calibrated,Team 01,Cash conservative,59356.38,Team 01,Cash conservative,76.0,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
11,Fast Lifecycle,calibrated,Team 04,Innovation leap,116952.22,Team 04,Innovation leap,96.0,Team 06,Low-cost volume,Team 04,Innovation leap,Team 04,Innovation leap,Team 05,Aggressive growth,"Innovation leap benefited from technology pressure and future-product readiness, but its cash burden should still be inspected."
12,Warranty Sensitive,calibrated,Team 03,Premium quality,89380.08,Team 03,Premium quality,96.0,Team 06,Low-cost volume,Team 03,Premium quality,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
13,Price War,calibrated,Team 02,Balanced S&OP,135978.28,Team 02,Balanced S&OP,84.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
14,Inventory Risk,calibrated,Team 01,Cash conservative,75460.45,Team 01,Cash conservative,88.0,Team 05,Aggressive growth,Team 01,Cash conservative,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
15,Capacity Constraint,calibrated,Team 05,Aggressive growth,132939.03,Team 05,Aggressive growth,84.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 04,Innovation leap,"Aggressive growth captured demand upside, but the class should inspect whether expansion and debt made the result fragile."
16,Forecast Volatility,calibrated,Team 02,Balanced S&OP,164138.38,Team 02,Balanced S&OP,88.0,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 02,Balanced S&OP,Team 04,Innovation leap,"Balanced S&OP aligned forecasts, production, and service well enough to convert demand into profit without the highest risk profile."
17,Viral Demand,calibrated,Team 05,Aggressive growth,138073.2,Team 05,Aggressive growth,84.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 04,Innovation leap,"Aggressive growth captured demand upside, but the class should inspect whether expansion and debt made the result fragile."
18,Cash Crunch,calibrated,Team 01,Cash conservative,56058.64,Team 01,Cash conservative,80.0,Team 06,Low-cost volume,Team 02,Balanced S&OP,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
19,Premium Expansion,calibrated,Team 03,Premium quality,123385.93,Team 03,Premium quality,92.0,Team 06,Low-cost volume,Team 06,Low-cost volume,Team 03,Premium quality,Team 04,Innovation leap,"Premium quality benefited because this environment rewarded reliability, service, and reputation enough to offset higher operating cost."
20,Unstable Market,calibrated,Team 01,Cash conservative,66034.19,Team 01,Cash conservative,76.0,Team 06,Low-cost volume,Team 05,Aggressive growth,Team 01,Cash conservative,Team 04,Innovation leap,"Cash conservative protected liquidity and avoided debt while other teams absorbed cost, inventory, expansion, or innovation pressure."
