experiment_mode,scenario_id,scenario_name,round,team_name,strategy_archetype,operating_archetype,demand,actual_demand,forecast,planned_production,actual_production,units_sold,lost_sales,inventory,backlog,revenue,cost,profit,cash,debt,service_level,forecast_error,forecast_wape,defects,warranty_cost,capacity_used,effective_capacity,raw_material_inventory_end,innovation_investment,npd_investment,launched_products,retired_products,launch_events,interest_expense,working_capital_requirement,liquidity_stress,reputation,notes
calibrated,1,Baseline,1,Team 01,Cash conservative,Community / Club,246.14,246.14,207,225,225,201,31,18,12,26073.24,15484.44,10588.8,33628.8,0.0,0.8166,39.14,0.2702,0.0206,184.59,74.26,303,75,750.0,750.0,0,0,,0.0,3428.13,FALSE,57.3,Portfolio forecast WAPE was 27.02% against realized demand. Lost 31 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,1,Team 02,Balanced S&OP,Engineering Challenger,171.9,171.9,200,200,200,171,0,27,0,28594.0,21813.15,6780.85,34924.85,1000.0,0.9948,-28.1,0.1635,0.005,38.47,65.15,307,90,2500.0,2500.0,0,0,,22.0,5742.39,FALSE,62.75,"Portfolio forecast WAPE was 16.35% against realized demand. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 03,Premium quality,Premium Quality,166.65,166.65,180,184,184,165,0,17,0,31123.44,22136.65,8986.79,34570.79,0.0,0.9901,-13.35,0.0801,0.005,37.13,68.15,270,76,3000.0,3000.0,0,0,,0.0,4893.04,FALSE,70.69,Portfolio forecast WAPE was 8.01% against realized demand.
calibrated,1,Baseline,1,Team 04,Innovation leap,Engineering Challenger,170.42,170.42,180,176,176,158,0,16,11,27585.6,25793.14,1792.46,35936.46,7000.0,0.9271,-9.58,0.1571,0.005,35.55,57.89,304,114,9000.0,9000.0,0,0,,154.0,6844.81,FALSE,61.29,"Portfolio forecast WAPE was 15.71% against realized demand. Carried 11 backlog units into next round. Used $7,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 05,Aggressive growth,Sponsorship Growth,246.04,246.04,439,372,320,245,0,64,0,33703.68,40964.2,-7260.52,31923.48,10000.0,0.9958,-192.96,0.7843,0.0302,332.46,86.96,368,0,4000.0,4000.0,0,0,,220.0,7027.08,FALSE,63.6,"Portfolio forecast WAPE was 78.43% against realized demand. Used $10,000.00 of planned borrowing."
calibrated,1,Baseline,1,Team 06,Low-cost volume,Low-Cost Volume,198.85,198.85,521,482,420,198,0,193,0,17981.04,35853.02,-17871.98,14860.02,3500.0,0.9957,-322.15,1.6201,0.066,592.54,89.36,470,0,1500.0,1500.0,0,0,,77.0,12254.98,FALSE,45.09,"Portfolio forecast WAPE was 162.01% against realized demand. Used $3,500.00 of planned borrowing."
calibrated,1,Baseline,2,Team 01,Cash conservative,Community / Club,253.49,253.49,207,225,225,200,52,38,12,25799.88,15840.15,9959.73,43588.53,0.0,0.7533,46.49,0.2843,0.0187,166.95,74.26,303,34,750.0,750.0,0,0,,0.0,3679.48,FALSE,52.52,Portfolio forecast WAPE was 28.43% against realized demand. Lost 52 sales units across the portfolio. Carried 12 backlog units into next round.
calibrated,1,Baseline,2,Team 02,Balanced S&OP,Engineering Challenger,190.25,190.25,200,200,200,184,0,41,5,30531.0,22425.38,8105.62,44030.47,2000.0,0.9671,-9.75,0.1029,0.005,41.4,62.7,319,106,2500.0,2500.0,0,0,,44.0,7869.11,FALSE,66.9,"Portfolio forecast WAPE was 10.29% against realized demand. Carried 5 backlog units into next round. Used $1,000.00 of planned borrowing."
calibrated,1,Baseline,2,Team 03,Premium quality,Premium Quality,184.22,184.22,180,184,184,181,0,18,2,34229.52,22577.44,11652.08,46222.87,0.0,0.9825,4.22,0.0745,0.005,40.73,65.02,283,76,3000.0,3000.0,0,0,,0.0,5111.16,FALSE,75.18,Portfolio forecast WAPE was 7.45% against realized demand. Carried 2 backlog units into next round.
calibrated,1,Baseline,2,Team 04,Innovation leap,Engineering Challenger,188.06,188.06,180,176,176,170,10,20,18,29463.0,26383.19,3079.81,46016.27,14000.0,0.854,8.06,0.1077,0.005,38.25,56.23,313,105,9000.0,9000.0,0,0,,308.0,8053.09,TRUE,61.56,"Portfolio forecast WAPE was 10.77% against realized demand. Lost 10 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
