round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
1,Team 01,Premium Quality,2,1,0,0,0,180,410.71,230.71,230.71,0.5617,228,187.87,184,184,270,68.15,41.76,0.005,182,410.71,182,214,14,0,76,0.4431,34192.8,7683.84,8441.89,152.0,40.95,140.0,936.0,3000.0,0.0,3173.76,0.0,0.0,39382.12,0.0,False,20394.68,13798.12,99.04,50.74,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 56.17% against realized demand. Lost 214 sales units across the portfolio. Carried 14 backlog units into next round.,1,4,batch_001,Batch market 001
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,637.88,222.88,222.88,0.3494,329,123.21,384,320,358,89.39,30.76,0.0376,307,637.88,307,246,83,0,0,0.4813,37825.92,14641.76,14743.22,0.0,520.04,830.0,2088.0,1500.0,77.0,525.0,3500.0,0.0,36109.9,3500.0,False,34400.02,3425.9,25.8,45.0,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 34.94% against realized demand. Lost 246 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,4,batch_001,Batch market 001
1,Team 03,Engineering Challenger,2,1,0,0,0,200,427.02,227.02,227.02,0.5316,228,164.73,200,200,307,65.15,35.21,0.005,198,427.02,198,204,24,0,90,0.4637,32617.0,7605.36,8909.0,180.0,44.55,240.0,864.0,2500.0,22.0,3318.9,1000.0,0.0,40396.09,1000.0,False,20364.91,12252.09,81.1,43.9,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 53.16% against realized demand. Lost 204 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,585.4,230.4,230.4,0.3936,253,105.16,348,348,441,78.91,27.82,0.0436,332,585.4,332,217,36,0,72,0.5671,34912.5,9208.42,11568.48,144.0,651.45,360.0,936.0,9000.0,154.0,3053.04,7000.0,0.0,39122.15,7000.0,False,32022.35,2890.15,40.61,32.25,1.33,27.8,0,420,0,348,331,0,,"Portfolio forecast WAPE was 39.36% against realized demand. Lost 217 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
2,Team 01,Premium Quality,2,1,0,0,0,180,438.14,258.14,258.14,0.5892,270,187.87,184,184,283,65.02,42.82,0.005,182,438.14,182,256,14,0,76,0.4025,34192.8,7878.88,8657.17,152.0,40.95,140.0,936.0,3000.0,0.0,3254.32,0.0,0.0,52769.92,0.0,False,20805.0,13387.8,96.79,33.86,2.0,0.0,0,76,184,184,184,14,,Portfolio forecast WAPE was 58.92% against realized demand. Lost 256 sales units across the portfolio. Carried 14 backlog units into next round.,1,4,batch_001,Batch market 001
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,569.26,154.26,154.26,0.271,650,0.0,384,0,387,0.0,31.54,0.1059,0,569.26,0,567,83,0,0,0.0,0.0,15013.04,0.0,0.0,0.0,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,20024.86,7000.0,True,19585.04,-19585.04,0.0,0.0,2.0,12.64,0,0,0,0,476,83,,"Portfolio forecast WAPE was 27.10% against realized demand. Lost 567 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",1,4,batch_001,Batch market 001
2,Team 03,Engineering Challenger,2,1,0,0,0,200,456.96,256.96,256.96,0.5623,282,164.73,200,200,319,62.7,36.11,0.005,198,456.96,198,258,24,0,106,0.4117,32617.0,7799.76,9135.9,212.0,44.55,240.0,864.0,2500.0,44.0,4127.66,1000.0,0.0,53172.88,2000.0,False,20840.21,11776.79,78.97,27.71,2.0,0.0,0,90,216,200,216,24,,"Portfolio forecast WAPE was 56.23% against realized demand. Lost 258 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing.",1,4,batch_001,Batch market 001
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,618.64,263.64,263.64,0.4262,321,105.16,348,348,454,76.65,28.53,0.0426,332,618.64,332,285,36,0,55,0.5071,34912.5,9443.43,11863.71,110.0,637.05,360.0,936.0,9000.0,308.0,3669.15,7000.0,0.0,48376.46,14000.0,True,32658.19,2254.31,39.06,13.55,1.33,28.6,0,72,331,348,331,36,,"Portfolio forecast WAPE was 42.62% against realized demand. Lost 285 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,4,batch_001,Batch market 001
3,Team 01,Premium Quality,2,1,0,0,0,180,431.82,251.82,251.82,0.5832,263,187.87,184,184,296,62.16,43.89,0.005,182,431.82,182,249,14,0,76,0.4082,34192.8,8075.76,8872.45,152.0,40.95,140.0,936.0,3000.0,0.0,3335.64,0.0,0.0,65745.56,0.0,False,21217.16,12975.64,94.53,17.24,2.0,16.35,0,76,184,184,184,14,,Portfolio forecast WAPE was 58.32% against realized demand. Lost 249 sales units across the portfolio. Carried 14 backlog units into next round.,1,4,batch_001,Batch market 001
3,Team 02,Sponsorship Growth,3,1,0,0,0,415,604.62,189.62,189.62,0.3136,316,123.29,384,384,416,92.31,32.33,0.0349,369,604.62,369,233,83,0,92,0.5366,45494.24,15389.08,18251.54,184.0,579.03,830.0,2088.0,1500.0,231.0,4549.36,3500.0,0.0,29966.45,10500.0,False,39052.65,6441.59,30.55,0.0,2.0,24.37,0,0,476,384,476,83,,"Portfolio forecast WAPE was 31.36% against realized demand. Lost 233 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,4,batch_001,Batch market 001
