run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
1,4,4,batch_001,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,11110.02,34192.8,23082.78,182,0.4194,0.5714,72489.68,0.0,72489.68,False,1.06,237,14,0
1,4,4,batch_001,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,3,53.3,9630.29,32617.0,22986.71,198,0.4276,0.5445,72518.76,4000.0,68518.76,False,0.0,240,24,0
1,4,4,batch_001,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,3,2,53.3,4423.93,45494.24,41070.31,369,0.5037,0.3611,36140.58,14000.0,22140.58,False,0.0,279,83,0
1,4,4,batch_001,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,4,4,25.3,-359.64,33976.95,34336.59,323,0.4944,0.4412,60342.7,28000.0,32342.699999999997,True,0.0,301,28,0
2,6,4,batch_002,Team 05,Community / Club,cash_conservative,Cash conservative,1,2,68.0,9371.78,26589.36,17217.58,210,0.7016,0.3005,54683.13,0.0,54683.13,False,41.41,76,12,9
2,6,4,batch_002,Team 01,Premium Quality,premium_quality,Premium quality,2,1,68.0,6005.53,33518.88,27513.35,178,0.7901,0.1727,46862.47,0.0,46862.47,False,71.22,32,14,50
2,6,4,batch_002,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,56.0,4798.88,32319.0,27520.12,196,0.8315,0.1086,47321.33,4000.0,43321.33,True,67.63,15,24,51
2,6,4,batch_002,Team 06,Premium Quality,aggressive_growth,Aggressive growth,4,4,48.0,-2936.74,37434.24,40370.98,220,0.9971,0.26,43817.13,40000.0,3817.1299999999974,True,83.61,0,0,152
2,6,4,batch_002,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,5,16.0,-3172.72,37298.52,40471.24,261,0.8652,0.3191,8301.93,28000.0,-19698.07,True,40.55,5,34,171
2,6,4,batch_002,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,6,6,12.0,-11624.54,37646.4,49270.94,299,0.9247,0.3909,0.0,17546.48,-17546.48,True,29.01,0,23,119
3,8,4,batch_003,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,82.9,13613.8,46809.36,33195.56,313,0.8339,0.1968,67486.87,0.0,67486.87,False,60.57,38,23,26
3,8,4,batch_003,Team 01,Premium Quality,premium_quality,Premium quality,2,2,71.4,12504.73,36551.52,24046.79,196,0.7938,0.2272,68428.6,0.0,68428.6,False,69.23,36,14,1
3,8,4,batch_003,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,65.7,8866.31,32617.0,23750.69,198,0.7637,0.1499,56852.62,4000.0,52852.62,False,49.56,36,24,0
3,8,4,batch_003,Team 05,Community / Club,cash_conservative,Cash conservative,4,6,37.1,8117.95,22996.92,14878.97,179,0.5503,0.3584,50321.05,0.0,50321.05,False,11.29,133,12,0
3,8,4,batch_003,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,5,4,49.1,5951.46,34957.12,29005.66,241,0.8703,0.179,28867.83,14000.0,14867.830000000002,True,21.88,0,35,0
3,8,4,batch_003,Team 06,Premium Quality,aggressive_growth,Aggressive growth,6,5,37.7,2047.96,37445.76,35397.8,223,0.7994,0.1882,60279.58,40000.0,20279.58,True,55.7,5,50,20
3,8,4,batch_003,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,7,7,25.7,1589.14,43992.96,42403.82,353,0.9202,0.3806,5089.14,14789.07,-9699.93,False,0.0,0,29,15
3,8,4,batch_003,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,8,8,6.3,361.9,36836.31,36474.41,262,0.7803,0.3536,25354.77,28000.0,-2645.2299999999996,True,31.3,38,34,159
4,7,4,batch_004,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,93.3,10373.71,43994.88,33621.17,294,0.7924,0.1869,68061.74,0.0,68061.74,False,54.22,53,23,7
4,7,4,batch_004,Team 01,Premium Quality,premium_quality,Premium quality,2,3,63.3,9777.96,34192.8,24414.84,182,0.7443,0.2192,67159.5,0.0,67159.5,False,60.36,48,14,0
4,7,4,batch_004,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,2,70.0,8477.23,32617.0,24139.77,198,0.7704,0.1417,55357.15,4000.0,51357.15,False,42.28,34,24,0
4,7,4,batch_004,Team 05,Community / Club,cash_conservative,Cash conservative,4,4,36.7,7845.39,22996.92,15151.53,179,0.5678,0.3372,49343.19,0.0,49343.19,False,4.13,123,12,0
4,7,4,batch_004,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,7,15.3,7031.42,34764.35,27732.93,252,0.7576,0.4741,38004.12,28000.0,10004.120000000003,True,23.61,45,34,119
4,7,4,batch_004,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,6,6,22.0,1074.61,44267.52,43192.91,356,0.9175,0.3605,4574.61,16140.05,-11565.439999999999,True,0.0,0,31,12
4,7,4,batch_004,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,5,25.3,619.33,36547.2,35927.87,217,0.7848,0.2009,58531.96,40000.0,18531.96,True,48.89,9,50,19
5,8,4,batch_005,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,88.6,10240.17,42141.6,31901.43,278,0.8495,0.0974,71488.18,0.0,71488.18,False,62.82,24,23,43
5,8,4,batch_005,Team 01,Premium Quality,premium_quality,Premium quality,2,2,71.4,9947.94,33181.92,23233.98,176,0.8254,0.1377,69303.6,0.0,69303.6,False,69.91,22,14,17
5,8,4,batch_005,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,71.4,9581.79,32617.0,23035.21,198,0.8447,0.0573,72302.3,4000.0,68302.3,False,68.11,12,24,0
5,8,4,batch_005,Team 05,Community / Club,cash_conservative,Cash conservative,4,4,42.9,9477.75,23725.2,14247.45,186,0.6386,0.2872,68021.07,0.0,68021.07,False,28.34,92,12,8
5,8,4,batch_005,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,8,12.0,7154.15,33513.59,26359.44,221,0.7925,0.5923,37223.36,28000.0,9223.36,True,26.66,22,34,176
5,8,4,batch_005,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,5,40.6,5633.78,33268.4,27634.62,230,0.9974,0.2595,53388.0,14000.0,39388.0,True,53.28,0,0,12
5,8,4,batch_005,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,6,29.1,1382.22,35685.12,34302.9,211,0.9976,0.3144,75173.97,40000.0,35173.97,True,84.69,0,0,104
5,8,4,batch_005,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,7,12.0,-3897.74,37081.44,40979.18,290,0.9735,0.4988,24737.54,14000.0,10737.54,True,20.64,0,6,118
6,10,4,batch_006,Team 05,Community / Club,cash_conservative,Cash conservative,1,2,77.8,5055.12,21191.52,16136.4,164,0.8044,0.2785,35861.55,0.0,35861.55,False,48.48,27,12,86
6,10,4,batch_006,Team 01,Premium Quality,premium_quality,Premium quality,2,1,77.8,713.29,27125.28,26411.99,142,0.991,0.2562,16425.94,0.0,16425.94,False,84.65,0,0,245
6,10,4,batch_006,Team 10,Community / Club,innovation_leap,Innovation leap,3,6,47.6,-72.02,31306.8,31378.82,183,0.8719,0.3466,21665.26,28000.0,-6334.740000000002,True,66.15,2,24,157
6,10,4,batch_006,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,4,52.0,-1740.94,23976.0,25716.94,144,0.9906,0.3758,20449.89,4000.0,16449.89,True,74.31,0,0,190
6,10,4,batch_006,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,5,5,52.0,-1831.98,28447.76,30279.74,193,0.9973,0.8787,17927.85,14000.0,3927.8499999999985,True,59.67,0,0,48
6,10,4,batch_006,Team 07,Sponsorship Growth,premium_quality,Premium quality,6,3,56.4,-3066.52,33698.16,36764.68,219,0.9974,0.2889,144.43,0.0,144.43,True,73.01,0,0,414
6,10,4,batch_006,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,7,7,27.6,-5346.16,33711.51,39057.67,187,0.9947,0.8351,1653.84,43981.13,-42327.29,True,42.88,0,0,394
6,10,4,batch_006,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,20.9,-10093.41,34548.8,44642.21,270,0.9952,1.2038,0.0,25403.39,-25403.39,True,14.28,0,0,98
6,10,4,batch_006,Team 06,Premium Quality,aggressive_growth,Aggressive growth,9,9,18.7,-12996.35,24633.6,37629.95,145,0.994,0.9057,19655.69,40000.0,-20344.31,True,81.12,0,0,230
6,10,4,batch_006,Team 09,Low-Cost Volume,balanced_sop,Balanced S&OP,10,10,5.3,-18535.61,18685.0,37220.61,182,0.9929,1.0949,0.0,34134.21,-34134.21,True,40.31,0,0,520
7,5,4,batch_007,Team 01,Premium Quality,premium_quality,Premium quality,1,1,70.0,8576.54,34192.8,25616.26,182,0.5514,0.4305,62354.59,0.0,62354.59,False,43.88,133,14,0
7,5,4,batch_007,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,65.0,7247.71,32617.0,25369.29,198,0.5793,0.3706,50758.19,4000.0,46758.19,False,27.99,119,24,0
7,5,4,batch_007,Team 05,Community / Club,cash_conservative,Cash conservative,3,5,30.0,6979.75,22996.92,16017.17,179,0.393,0.5468,46053.12,0.0,46053.12,False,0.0,264,12,0
7,5,4,batch_007,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,4,3,37.0,316.59,37971.15,37654.56,335,0.6706,0.2557,41980.77,28000.0,13980.769999999997,True,19.55,129,34,0
7,5,4,batch_007,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,5,4,32.0,-777.13,45365.76,46142.89,368,0.7048,0.0565,2722.87,20470.93,-17748.06,True,0.0,70,83,0
8,4,4,batch_008,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,9020.85,34192.8,25171.95,182,0.3771,0.6159,64131.93,0.0,64131.93,False,11.2,285,14,0
8,4,4,batch_008,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,2,53.3,7491.03,32617.0,25125.97,198,0.3875,0.5893,63961.72,4000.0,59961.72,False,6.32,287,24,0
