round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,run_id,team_count,market_scenario,market_label
1,Team 01,team_01_A,A,Elite Spin Pro,85,207.03,86,122.03,122.03,1.4356,0.5894,1,4,batch_001,Batch market 001
1,Team 01,team_01_B,B,Control Tour,95,203.68,96,108.68,108.68,1.144,0.5336,1,4,batch_001,Batch market 001
1,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
1,Team 02,team_02_A,A,Momentum Edge,158,205.36,117,47.36,47.36,0.2997,0.2306,1,4,batch_001,Batch market 001
1,Team 02,team_02_B,B,Rise Power,112,218.78,83,106.78,106.78,0.9534,0.4881,1,4,batch_001,Batch market 001
1,Team 02,team_02_C,C,Court Wave,145,213.74,107,68.74,68.74,0.4741,0.3216,1,4,batch_001,Batch market 001
1,Team 03,team_03_A,A,Vector X,90,224.85,89,134.85,134.85,1.4983,0.5997,1,4,batch_001,Batch market 001
1,Team 03,team_03_B,B,Axis Control,110,202.17,109,92.17,92.17,0.8379,0.4559,1,4,batch_001,Batch market 001
1,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
1,Team 04,team_04_A,A,Starter Pop,144,233.22,134,89.22,89.22,0.6196,0.3826,1,4,batch_001,Batch market 001
1,Team 04,team_04_B,B,Club Value,125,151.15,118,26.15,26.15,0.2092,0.173,1,4,batch_001,Batch market 001
1,Team 04,team_04_C,C,Flex Edge,86,201.03,80,115.03,115.03,1.3376,0.5722,1,4,batch_001,Batch market 001
2,Team 01,team_01_A,A,Elite Spin Pro,85,229.12,86,144.12,144.12,1.6956,0.629,1,4,batch_001,Batch market 001
2,Team 01,team_01_B,B,Control Tour,95,209.02,96,114.02,114.02,1.2002,0.5455,1,4,batch_001,Batch market 001
2,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
2,Team 02,team_02_A,A,Momentum Edge,158,208.82,0,50.82,50.82,0.3216,0.2434,1,4,batch_001,Batch market 001
2,Team 02,team_02_B,B,Rise Power,112,202.79,0,90.79,90.79,0.8106,0.4477,1,4,batch_001,Batch market 001
2,Team 02,team_02_C,C,Court Wave,145,157.65,0,12.65,12.65,0.0873,0.0803,1,4,batch_001,Batch market 001
2,Team 03,team_03_A,A,Vector X,90,231.82,89,141.82,141.82,1.5758,0.6118,1,4,batch_001,Batch market 001
2,Team 03,team_03_B,B,Axis Control,110,225.14,109,115.14,115.14,1.0467,0.5114,1,4,batch_001,Batch market 001
2,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
2,Team 04,team_04_A,A,Starter Pop,144,240.37,134,96.37,96.37,0.6692,0.4009,1,4,batch_001,Batch market 001
2,Team 04,team_04_B,B,Club Value,125,155.49,118,30.49,30.49,0.2439,0.1961,1,4,batch_001,Batch market 001
2,Team 04,team_04_C,C,Flex Edge,86,222.78,80,136.78,136.78,1.5905,0.614,1,4,batch_001,Batch market 001
3,Team 01,team_01_A,A,Elite Spin Pro,85,256.68,86,171.68,171.68,2.0197,0.6688,1,4,batch_001,Batch market 001
3,Team 01,team_01_B,B,Control Tour,95,175.14,96,80.14,80.14,0.8436,0.4576,1,4,batch_001,Batch market 001
3,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
3,Team 02,team_02_A,A,Momentum Edge,158,244.97,141,86.97,86.97,0.5504,0.355,1,4,batch_001,Batch market 001
3,Team 02,team_02_B,B,Rise Power,112,180.96,100,68.96,68.96,0.6158,0.3811,1,4,batch_001,Batch market 001
3,Team 02,team_02_C,C,Court Wave,145,178.69,128,33.69,33.69,0.2324,0.1886,1,4,batch_001,Batch market 001
3,Team 03,team_03_A,A,Vector X,90,198.65,89,108.65,108.65,1.2072,0.5469,1,4,batch_001,Batch market 001
3,Team 03,team_03_B,B,Axis Control,110,251.4,109,141.4,141.4,1.2854,0.5624,1,4,batch_001,Batch market 001
3,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,4,batch_001,Batch market 001
3,Team 04,team_04_A,A,Starter Pop,144,206.24,135,62.24,62.24,0.4322,0.3018,1,4,batch_001,Batch market 001
3,Team 04,team_04_B,B,Club Value,125,171.17,118,46.17,46.17,0.3694,0.2697,1,4,batch_001,Batch market 001
3,Team 04,team_04_C,C,Flex Edge,86,240.1,80,154.1,154.1,1.7919,0.6418,1,4,batch_001,Batch market 001
