experiment_mode,scenario_id,scenario_name,team_name,strategy_archetype,operating_archetype,final_profit,final_revenue,final_cost,final_cash,final_debt,cash_minus_debt,ending_inventory,ending_backlog,service_level,forecast_accuracy,forecast_wape,balanced_score,profit_rank,balanced_rank,service_rank,forecast_rank,cash_rank,innovation_rank,innovation_score,liquidity_stress,reputation_after_round
calibrated,1,Baseline,Team 01,Cash conservative,Premium Quality,110579.88,281585.28,171005.4,136163.88,0.0,136163.88,0,8,0.5436,0.5947,0.4053,64.0,1,2,6,5,1,6,104.5,FALSE,0.0
calibrated,1,Baseline,Team 02,Balanced S&OP,Sponsorship Growth,55349.4,453070.0,397720.6,96533.4,12000.0,84533.4,0,35,0.7351,0.7077,0.2923,72.0,2,1,2,2,2,4,115.0,TRUE,0.0
calibrated,1,Baseline,Team 03,Premium quality,Engineering Challenger,44529.53,212574.24,168044.71,71673.53,0.0,71673.53,0,3,0.6706,0.6298,0.3702,56.0,3,3,4,3,3,1,164.5,FALSE,17.16
calibrated,1,Baseline,Team 06,Low-cost volume,Premium Quality,27184.16,369846.4,342662.24,94768.16,42000.0,52768.16,0,49,0.7745,0.7408,0.2592,56.0,4,4,1,1,4,5,109.0,TRUE,7.43
calibrated,1,Baseline,Team 05,Aggressive growth,Community / Club,-37613.93,416588.16,454202.09,105426.07,120000.0,-14573.93,0,65,0.7198,0.62,0.38,20.0,5,5,3,4,6,3,150.0,TRUE,0.0
calibrated,1,Baseline,Team 04,Innovation leap,Low-Cost Volume,-37917.2,217545.57,255462.77,75314.8,84000.0,-8685.2,0,9,0.5924,0.4145,0.5855,0.0,6,6,5,6,5,2,162.5,TRUE,0.0
calibrated,2,Picky Customers,Team 01,Cash conservative,Premium Quality,104400.97,250922.04,146521.07,129984.97,0.0,129984.97,0,6,0.4522,0.3713,0.6287,64.0,1,2,6,5,1,6,104.5,FALSE,0.0
calibrated,2,Picky Customers,Team 03,Premium quality,Engineering Challenger,95842.6,245750.94,149908.34,122986.6,0.0,122986.6,0,0,0.9359,0.835,0.165,88.0,2,1,1,1,2,5,106.0,FALSE,100.0
calibrated,2,Picky Customers,Team 02,Balanced S&OP,Sponsorship Growth,82961.3,490482.0,407520.7,124145.3,12000.0,112145.3,0,35,0.7503,0.6603,0.3397,52.0,3,3,3,3,3,3,115.0,TRUE,0.0
calibrated,2,Picky Customers,Team 06,Low-cost volume,Premium Quality,45197.21,391068.48,345871.27,112781.21,42000.0,70781.21,0,49,0.7524,0.7031,0.2969,48.0,4,4,2,2,4,4,109.0,TRUE,7.21
calibrated,2,Picky Customers,Team 05,Aggressive growth,Community / Club,-32426.43,428615.04,461041.47,110613.57,120000.0,-9386.43,36,65,0.7298,0.5892,0.4108,20.0,5,5,4,4,5,2,150.0,TRUE,0.0
calibrated,2,Picky Customers,Team 04,Innovation leap,Low-Cost Volume,-41050.85,212793.58,253844.43,72181.15,84000.0,-11818.85,0,9,0.5781,0.3593,0.6407,0.0,6,6,5,6,6,1,162.5,TRUE,0.0
calibrated,3,Price Sensitive,Team 06,Low-cost volume,Premium Quality,146629.36,379893.48,233264.12,172213.36,0.0,172213.36,0,41,0.5617,0.6123,0.3877,100.0,1,1,1,1,1,6,103.0,FALSE,0.0
calibrated,3,Price Sensitive,Team 02,Balanced S&OP,Sponsorship Growth,131762.56,490158.0,358395.44,172946.56,12000.0,160946.56,0,35,0.5437,0.5512,0.4488,72.0,2,2,2,2,2,4,115.0,TRUE,0.0
calibrated,3,Price Sensitive,Team 01,Cash conservative,Premium Quality,111443.61,232435.56,120991.95,137027.61,0.0,137027.61,0,5,0.3346,0.2477,0.7523,36.0,3,4,6,6,3,5,104.5,FALSE,0.0
calibrated,3,Price Sensitive,Team 03,Premium quality,Engineering Challenger,61922.87,212574.24,150651.37,89066.87,0.0,89066.87,0,3,0.5136,0.5081,0.4919,44.0,4,3,3,4,4,1,164.5,FALSE,0.0
calibrated,3,Price Sensitive,Team 05,Aggressive growth,Community / Club,28359.35,432000.0,403640.65,171399.35,120000.0,51399.35,0,65,0.4803,0.5255,0.4745,24.0,5,5,4,3,5,3,150.0,TRUE,0.0
calibrated,3,Price Sensitive,Team 04,Innovation leap,Low-Cost Volume,10980.89,239517.6,228536.71,124212.89,84000.0,40212.89,0,9,0.4603,0.4475,0.5525,0.0,6,6,5,5,6,2,162.5,TRUE,0.0
calibrated,4,Tech Shift,Team 01,Cash conservative,Premium Quality,100209.45,239218.56,139009.11,125793.45,0.0,125793.45,0,5,0.3148,0.2403,0.7597,60.0,1,1,6,6,1,6,104.5,FALSE,0.0
calibrated,4,Tech Shift,Team 02,Balanced S&OP,Sponsorship Growth,91590.5,490692.0,399101.5,132774.5,12000.0,120774.5,0,35,0.5559,0.5473,0.4527,56.0,2,2,4,4,2,3,115.0,TRUE,0.0
